registration_date,department_effort,no_registrations
2022-03-14,Media Buying (100.00% ) ,1
2022-07-27,Media Buying (100.00% ) ,1
2022-07-26,Media Buying (100.00% ) ,1
2022-06-25,Media Buying (100.00% ) ,1
2022-03-10,Media Buying (100.00% ) ,1
2022-09-08,Media Buying (100.00% ) ,1
2022-09-07,Media Buying (100.00% ) ,1
2022-03-09,Media Buying (100.00% ) ,1
2022-02-13,Media Buying (100.00% ) ,1
2022-07-17,Media Buying (100.00% ) ,1
2022-05-14,Media Buying (100.00% ) ,1
2022-04-11,Media Buying (100.00% ) ,1
2022-04-14,Media Buying (100.00% ) ,1
2021-12-08,Media Buying (100.00% ) ,1
2022-09-14,Media Buying (100.00% ) ,1
2022-08-16,Media Buying (100.00% ) ,1
2022-07-23,Media Buying (100.00% ) ,1
2022-07-09,Media Buying (100.00% ) ,1
2022-02-28,Media Buying (100.00% ) ,1
2022-02-20,Media Buying (100.00% ) ,1
2022-10-03,Media Buying (100.00% ) ,1
2022-05-07,Media Buying (100.00% ) ,1
2022-01-29,Media Buying (100.00% ) ,1
2022-06-26,Media Buying (100.00% ) ,1
2022-02-07,Media Buying (100.00% ) ,1
2022-08-29,Media Buying (100.00% ) ,1
2022-02-06,Media Buying (100.00% ) ,1
2022-10-10,Media Buying (100.00% ) ,1
2022-05-24,Media Buying (100.00% ) ,1
2022-02-14,Media Buying (100.00% ) ,1
2022-09-17,Media Buying (100.00% ) ,1
2022-03-29,Media Buying (100.00% ) ,1
2022-09-29,Media Buying (100.00% ) ,1
2022-01-19,Media Buying (100.00% ) ,1
2022-08-02,Media Buying (100.00% ) ,1
2022-03-26,Media Buying (100.00% ) ,1
2022-03-21,Media Buying (100.00% ) ,1
2022-09-23,Media Buying (100.00% ) ,1
2022-02-19,Media Buying (100.00% ) ,1
2022-01-31,Media Buying (100.00% ) ,1
2022-09-30,Media Buying (100.00% ) ,1
2022-07-18,Media Buying (100.00% ) ,1
2022-07-05,Media Buying (100.00% ) ,1
2022-05-09,Media Buying (100.00% ) ,1
2022-09-15,Media Buying (100.00% ) ,1
2022-07-04,Media Buying (100.00% ) ,1
2022-07-11,Media Buying (100.00% ) ,1
2022-08-15,Media Buying (100.00% ) ,1
2022-08-19,Media Buying (100.00% ) ,1
2022-10-27,Media Buying (100.00% ) ,1
2022-10-18,Media Buying (100.00% ) ,1
2022-04-07,Media Buying (100.00% ) ,1
2022-03-02,Media Buying (100.00% ) ,1
2022-07-01,Media Buying (100.00% ) ,1
2022-10-13,Media Buying (100.00% ) ,1
2022-05-11,Media Buying (100.00% ) ,1
2022-08-24,Media Buying (100.00% ) ,1
2022-08-05,Media Buying (100.00% ) ,1
2022-04-24,Media Buying (100.00% ) ,1
2022-08-08,Media Buying (100.00% ) ,1
2022-02-15,Media Buying (100.00% ) ,1
2022-07-03,Media Buying (100.00% ) ,1
2022-09-02,Media Buying (100.00% ) ,1
2022-01-16,Media Buying (100.00% ) ,1
2022-03-24,Media Buying (100.00% ) ,1
2022-02-18,Media Buying (100.00% ) ,1
2022-08-17,Media Buying (100.00% ) ,1
2022-02-11,Media Buying (100.00% ) ,1
2022-08-21,Media Buying (100.00% ) ,1
2022-01-21,Media Buying (100.00% ) ,2
2022-04-28,Media Buying (100.00% ) ,2
2022-09-12,Media Buying (100.00% ) ,2
2022-05-15,Media Buying (100.00% ) ,2
2022-09-09,Media Buying (100.00% ) ,2
2022-02-25,Media Buying (100.00% ) ,2
2022-04-06,Media Buying (100.00% ) ,2
2022-06-18,Media Buying (100.00% ) ,2
2022-03-11,Media Buying (100.00% ) ,2
2022-07-19,Media Buying (100.00% ) ,2
2022-04-12,Media Buying (100.00% ) ,2
2022-07-31,Media Buying (100.00% ) ,2
2022-03-20,Media Buying (100.00% ) ,2
2022-08-22,Media Buying (100.00% ) ,2
2022-07-12,Media Buying (100.00% ) ,2
2022-09-03,Media Buying (100.00% ) ,2
2022-03-12,Media Buying (100.00% ) ,2
2022-08-25,Media Buying (100.00% ) ,2
2022-08-01,Media Buying (100.00% ) ,2
2022-07-28,Media Buying (100.00% ) ,2
2022-01-12,Media Buying (100.00% ) ,2
2022-05-13,Media Buying (100.00% ) ,2
2022-09-21,Media Buying (100.00% ) ,2
2022-08-06,Media Buying (100.00% ) ,2
2022-01-11,Media Buying (100.00% ) ,2
2022-06-24,Media Buying (100.00% ) ,2
2022-08-11,Media Buying (100.00% ) ,2
2022-07-25,Media Buying (100.00% ) ,2
2022-02-09,Media Buying (100.00% ) ,2
2022-03-22,Media Buying (100.00% ) ,2
2022-04-04,Media Buying (100.00% ) ,2
2022-06-23,Media Buying (100.00% ) ,2
2022-09-11,Media Buying (100.00% ) ,2
2022-08-12,Media Buying (100.00% ) ,2
2022-03-13,Media Buying (100.00% ) ,2
2022-07-22,Media Buying (100.00% ) ,2
